actual,proposed
0.30000463128089905,0.9606528878211975
0.3015044629573822,0.9609628319740295
0.30300432443618774,0.9612703919410706
0.3045041859149933,0.9615734815597534
0.30600404739379883,0.9618818759918213
0.30750390887260437,0.9621880650520325
0.3090038001537323,0.962494432926178
0.15238399803638458,0.946958601474762
0.15276455879211426,0.9353874325752258
0.15529286861419678,0.9239971041679382
0.15776026248931885,0.9127341508865356
0.1601690798997879,0.9015530943870544
0.15519747138023376,0.8900215029716492
0.1531791090965271,0.8788398504257202
0.1467219442129135,0.8675191402435303
0.13588865101337433,0.8559563755989075
0.12945690751075745,0.8443297743797302
0.11864502727985382,0.832494854927063
0.10351292043924332,0.820372998714447
0.0841178223490715,0.8076104521751404
0.06923216581344604,0.7946431636810303
0.05006934329867363,0.7811560034751892
0.026684356853365898,0.7669674158096313
0.003488851711153984,0.7522271275520325
0.0,0.7372386455535889
0.0,0.7212896943092346
0.0,0.7044894695281982
0.0,0.6870607137680054
0.0,0.6689640283584595
0.0,0.6502238512039185
0.0,0.6308957934379578
0.0,0.6115604639053345
0.0,0.5928888320922852
0.0,0.570159375667572
0.0,0.5456925630569458
0.0,0.5281633138656616
0.0,0.5066069960594177
0.0,0.48650693893432617
0.0,0.46478697657585144
0.0,0.44084155559539795
0.0,0.4186915457248688
0.0,0.3970786929130554
0.0,0.3746190369129181
0.0,0.3525027632713318
0.0,0.3310185670852661
0.0,0.30740609765052795
0.0,0.2884123623371124
0.0,0.26133236289024353
0.0,0.24502067267894745
0.0,0.22431254386901855
0.0,0.20203004777431488
0.0,0.1836143583059311
0.0,0.16225209832191467
0.0,0.14532482624053955
0.0,0.12637992203235626
0.0,0.11199698597192764
0.0,0.08014702796936035
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.5854034423828125
0.0,0.42496389150619507
0.00997406430542469,0.41841405630111694
0.022319070994853973,0.41227397322654724
0.043141577392816544,0.40715810656547546
0.05925390496850014,0.40266722440719604
0.075090691447258,0.3988364040851593
0.09938178211450577,0.3960658311843872
0.11894083023071289,0.39398089051246643
0.1294858455657959,0.3922000527381897
0.15294551849365234,0.3914540410041809
0.1629919409751892,0.39089563488960266
0.17725719511508942,0.3909066319465637
0.19132819771766663,0.3913957178592682
0.20085477828979492,0.39214032888412476
0.20590564608573914,0.3929632008075714
0.2109055519104004,0.3939218521118164
0.22021591663360596,0.39522457122802734
0.2207016497850418,0.3963695466518402
0.22556547820568085,0.39769768714904785
0.2260282337665558,0.39891669154167175
0.22215233743190765,0.3998899459838867
0.21835651993751526,0.40065911412239075
0.20591920614242554,0.40082302689552307
0.20239366590976715,0.4009281396865845
0.1858556866645813,0.40023818612098694
0.17391927540302277,0.39913836121559143
0.1577950268983841,0.39740484952926636
0.13753558695316315,0.3948689103126526
0.11754992604255676,0.3916899561882019
0.09782540798187256,0.38486191630363464
0.04609508067369461,0.374044805765152
0.018543172627687454,0.3714405298233032
3.7017241993453354e-05,0.36439773440361023
0.0,0.3552440106868744
0.0,0.3450188934803009
0.0,0.19829624891281128
0.0,0.29775187373161316
0.0,0.2830381691455841
0.0,0.267412930727005
0.0,0.2505352795124054
0.0,0.23302285373210907
0.0,0.21502341330051422
0.0,0.1957983523607254
0.0,0.17632699012756348
0.0,0.15604153275489807
0.0,0.13578520715236664
0.0,0.09392119199037552
0.0,0.073185496032238
0.0,0.05320625752210617
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.4772586524486542
0.0,0.30812889337539673
0.0,0.09757710993289948
0.0,0.26559972763061523
0.0,0.2572467625141144
0.0,0.24969126284122467
0.0,0.24286426603794098
0.0,0.2368307262659073
0.0,0.23136092722415924
0.0,0.2265280783176422
0.0,0.2219550609588623
0.0,0.2178906351327896
0.0,0.21436606347560883
0.0,0.21121613681316376
0.004526791628450155,0.20856446027755737
0.014730039983987808,0.2063230276107788
0.024763567373156548,0.20449984073638916
0.030275912955403328,0.2028484344482422
0.031334370374679565,0.20120887458324432
0.036721475422382355,0.19982947409152985
0.037659935653209686,0.19847212731838226
0.03857304900884628,0.19716979563236237
0.04817967116832733,0.19633448123931885
0.05328323692083359,0.19564658403396606
0.06266822665929794,0.19535678625106812
0.05884190648794174,0.19476062059402466
0.050709523260593414,0.1938149631023407
0.03832881897687912,0.17840927839279175
0.019349420443177223,0.18759745359420776
0.01607506535947323,0.18393348157405853
0.012827565893530846,0.1501823216676712
0.0031744157895445824,0.13615219295024872
0.0,0.17071563005447388
0.0,0.16516155004501343
0.0,0.16437016427516937
0.0,0.1613086313009262
0.24316257238388062,0.15821287035942078
0.24158048629760742,0.8316295146942139
0.240006223320961,0.6576942205429077
0.238438680768013,0.6546288728713989
0.2412363886833191,0.6517288088798523
0.23962022364139557,0.6487388014793396
0.23801171779632568,0.6457188129425049
0.23641033470630646,0.6426771879196167
0.23481501638889313,0.6395595073699951
0.2332252711057663,0.6364462971687317
0.23164063692092896,0.6333287358283997
0.22570110857486725,0.62981116771698
0.21546685695648193,0.6260277628898621
0.2053537666797638,0.6219490170478821
0.19535592198371887,0.6174651384353638
0.18110856413841248,0.6125473976135254
0.16702581942081451,0.6070610880851746
0.15309925377368927,0.6011880040168762
0.13932135701179504,0.5949898362159729
0.12132584303617477,0.5881822109222412
0.10352461785078049,0.5806757211685181
0.08154941350221634,0.5725969076156616
0.06416923552751541,0.5640835165977478
0.03823497146368027,0.5545648336410522
0.012577012181282043,0.5443885922431946
0.0,0.5333043932914734
0.0,0.5213801860809326
0.0,0.5087932348251343
0.0,0.4953526258468628
0.0,0.48098286986351013
0.0,0.4655679166316986
0.0,0.44962120056152344
0.0,0.4332113564014435
0.0,0.41599807143211365
0.0,0.3976806402206421
0.0,0.3788945972919464
0.0,0.3603212833404541
0.0,0.34133243560791016
0.0,0.3219899535179138
0.0,0.3019281029701233
0.0,0.28167054057121277
0.0,0.26120567321777344
0.0,0.24077966809272766
0.0,0.21991439163684845
0.0,0.19949248433113098
0.0,0.17976242303848267
0.0,0.8371071815490723
0.0,0.6481990814208984
0.0,0.6291804909706116
0.0,0.6105907559394836
0.0,0.5924257040023804
0.0,0.575071394443512
0.0,0.5582116842269897
0.0,0.5416210293769836
0.0,0.5254130363464355
0.0,0.5098980069160461
0.0,0.49481630325317383
0.0,0.4807203710079193
0.0,0.46753600239753723
0.0,0.4548572897911072
0.0,0.44242483377456665
0.0,0.4306580424308777
0.0,0.41919827461242676
0.0,0.4081943929195404
0.0,0.39765655994415283
0.0,0.38726094365119934
0.0,0.37734487652778625
0.0,0.36779364943504333
0.0,0.35818803310394287
0.0,0.34731239080429077
0.0,0.3385314643383026
0.0,0.32910460233688354
0.0,0.320062518119812
0.0,0.3112336993217468
0.0,0.30245280265808105
0.09990354627370834,0.2929103374481201
0.0964675024151802,0.7050901055335999
0.10679329186677933,0.6967067122459412
0.1073642298579216,0.6888759732246399
0.11220724880695343,0.6805146932601929
0.11254680156707764,0.6730223298072815
0.1171669065952301,0.6584184765815735
0.11734601855278015,0.6517267823219299
0.12169082462787628,0.6445653438568115
0.11719101667404175,0.6377841234207153
0.11269049346446991,0.631135106086731
0.10382921248674393,0.6243760585784912
0.0993848368525505,0.6104417443275452
0.0861181765794754,0.5710662603378296
0.06864213943481445,0.5787326693534851
0.05561661347746849,0.5813165307044983
0.04269520938396454,0.5707187652587891
0.029871657490730286,0.5630213618278503
0.021500252187252045,0.554841160774231
0.013155543245375156,0.5459116101264954
0.004835963249206543,0.5369037985801697
0.18126925826072693,1.0
0.17804427444934845,0.9238879084587097
0.17546765506267548,0.9179391264915466
0.17300528287887573,0.9080253839492798
0.15865902602672577,0.8977576494216919
0.14754478633403778,0.8870925903320312
0.13648511469364166,0.8761606216430664
0.12547548115253448,0.8651448488235474
0.11015394330024719,0.8538343906402588
0.09057701379060745,0.8421406149864197
0.07987604290246964,0.8298006653785706
0.0648445338010788,0.8175349831581116
0.04553968459367752,0.8048524260520935
0.030735261738300323,0.7916613817214966
0.016003474593162537,0.7780841588973999
0.00569842429831624,0.7644224762916565
0.0,0.7506360411643982
0.0,0.7365302443504333
0.0,0.7092039585113525
0.0,0.6917485594749451
0.0,0.6791715025901794
0.0,0.6642652153968811
0.0,0.6494491696357727
0.0,0.6342450380325317
0.0,0.6602334380149841
0.0,0.6346135139465332
0.0,0.6187192797660828
0.0,0.6032441854476929
0.0,0.5872884392738342
0.0,0.5699391961097717
0.0,0.5550586581230164
0.0,0.5394540429115295
0.0,0.5236506462097168
0.0,0.508285403251648
0.0,0.4916185736656189
